flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2025-05-03,landed,"{'airport': 'Badu Island', 'timezone': 'Australia/Brisbane', 'iata': 'BDD', 'icao': 'YBAU', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-05-03T14:05:00+00:00', 'estimated': '2025-05-03T14:05:00+00:00', 'actual': '2025-05-01T13:49:00+00:00', 'estimated_runway': '2025-05-01T13:49:00+00:00', 'actual_runway': '2025-05-01T13:49:00+00:00'}","{'airport': 'Horn Island', 'timezone': 'Australia/Brisbane', 'iata': 'HID', 'icao': 'YHID', 'terminal': '2', 'gate': None, 'baggage': None, 'scheduled': '2025-05-01T14:18:00+00:00', 'delay': None, 'estimated': None, 'actual': '2025-05-01T14:01:00+00:00', 'estimated_runway': '2025-05-01T14:01:00+00:00', 'actual_runway': '2025-05-01T14:01:00+00:00'}","{'name': 'Hinterland Aviation', 'iata': 'OI', 'icao': 'HND'}","{'number': '424', 'iata': 'OI424', 'icao': 'HND424', 'codeshared': None}",,
2025-05-02,scheduled,"{'airport': 'East Midlands', 'timezone': 'Europe/London', 'iata': 'EMA', 'icao': 'EGNX', 'terminal': None, 'gate': None, 'delay': 10, 'scheduled': '2025-05-02T04:55:00+00:00', 'estimated': '2025-05-02T04:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Aldergrove International Airport', 'timezone': 'Europe/London', 'iata': 'BFS', 'icao': 'EGAA', 'terminal': 'N', 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T05:46:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'DHL Air', 'iata': 'D0', 'icao': 'DHK'}","{'number': '2506', 'iata': 'D02506', 'icao': 'DHK2506', 'codeshared': None}",,
2025-05-02,scheduled,"{'airport': 'Binaka', 'timezone': 'Asia/Jakarta', 'iata': 'GNS', 'icao': 'WIMB', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-05-02T11:50:00+00:00', 'estimated': '2025-05-02T11:50:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': None, 'timezone': None, 'iata': 'KNO', 'icao': 'WIMM', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T12:55:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Wings Air (Indonesia)', 'iata': 'IW', 'icao': 'WON'}","{'number': '1247', 'iata': 'IW1247', 'icao': 'WON1247', 'codeshared': None}",,
2025-05-02,scheduled,"{'airport': 'Barajas', 'timezone': 'Europe/Madrid', 'iata': 'MAD', 'icao': 'LEMD', 'terminal': '3', 'gate': 'E81', 'delay': 18, 'scheduled': '2025-05-02T06:45:00+00:00', 'estimated': '2025-05-02T06:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Vigo', 'timezone': 'Europe/Madrid', 'iata': 'VGO', 'icao': 'LEVX', 'terminal': 'T1', 'gate': None, 'baggage': '2', 'scheduled': '2025-05-02T07:50:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'KLM', 'iata': 'KL', 'icao': 'KLM'}","{'number': '3367', 'iata': 'KL3367', 'icao': 'KLM3367', 'codeshared': {'airline_name': 'air europa', 'airline_iata': 'ux', 'airline_icao': 'aea', 'flight_number': '7308', 'flight_iata': 'ux7308', 'flight_icao': 'aea7308'}}",,
2025-05-02,scheduled,"{'airport': 'Barajas', 'timezone': 'Europe/Madrid', 'iata': 'MAD', 'icao': 'LEMD', 'terminal': '3', 'gate': 'E81', 'delay': 18, 'scheduled': '2025-05-02T06:45:00+00:00', 'estimated': '2025-05-02T06:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Vigo', 'timezone': 'Europe/Madrid', 'iata': 'VGO', 'icao': 'LEVX', 'terminal': 'T1', 'gate': None, 'baggage': '2', 'scheduled': '2025-05-02T07:50:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Etihad Airways', 'iata': 'EY', 'icao': 'ETD'}","{'number': '7590', 'iata': 'EY7590', 'icao': 'ETD7590', 'codeshared': {'airline_name': 'air europa', 'airline_iata': 'ux', 'airline_icao': 'aea', 'flight_number': '7308', 'flight_iata': 'ux7308', 'flight_icao': 'aea7308'}}",,
2025-05-02,scheduled,"{'airport': 'Barajas', 'timezone': 'Europe/Madrid', 'iata': 'MAD', 'icao': 'LEMD', 'terminal': '3', 'gate': 'E81', 'delay': 18, 'scheduled': '2025-05-02T06:45:00+00:00', 'estimated': '2025-05-02T06:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Vigo', 'timezone': 'Europe/Madrid', 'iata': 'VGO', 'icao': 'LEVX', 'terminal': 'T1', 'gate': None, 'baggage': '2', 'scheduled': '2025-05-02T07:50:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Aeromexico', 'iata': 'AM', 'icao': 'AMX'}","{'number': '6942', 'iata': 'AM6942', 'icao': 'AMX6942', 'codeshared': {'airline_name': 'air europa', 'airline_iata': 'ux', 'airline_icao': 'aea', 'flight_number': '7308', 'flight_iata': 'ux7308', 'flight_icao': 'aea7308'}}",,
2025-05-02,scheduled,"{'airport': 'Barajas', 'timezone': 'Europe/Madrid', 'iata': 'MAD', 'icao': 'LEMD', 'terminal': '3', 'gate': 'E81', 'delay': 18, 'scheduled': '2025-05-02T06:45:00+00:00', 'estimated': '2025-05-02T06:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Vigo', 'timezone': 'Europe/Madrid', 'iata': 'VGO', 'icao': 'LEVX', 'terminal': 'T1', 'gate': None, 'baggage': '2', 'scheduled': '2025-05-02T07:50:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air France', 'iata': 'AF', 'icao': 'AFR'}","{'number': '4791', 'iata': 'AF4791', 'icao': 'AFR4791', 'codeshared': {'airline_name': 'air europa', 'airline_iata': 'ux', 'airline_icao': 'aea', 'flight_number': '7308', 'flight_iata': 'ux7308', 'flight_icao': 'aea7308'}}",,
2025-05-02,scheduled,"{'airport': 'Barajas', 'timezone': 'Europe/Madrid', 'iata': 'MAD', 'icao': 'LEMD', 'terminal': '2', 'gate': 'D163', 'delay': 13, 'scheduled': '2025-05-02T06:40:00+00:00', 'estimated': '2025-05-02T06:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'La Coruna', 'timezone': 'Europe/Madrid', 'iata': 'LCG', 'icao': 'LECO', 'terminal': '1', 'gate': None, 'baggage': '1', 'scheduled': '2025-05-02T07:50:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'KLM', 'iata': 'KL', 'icao': 'KLM'}","{'number': '3315', 'iata': 'KL3315', 'icao': 'KLM3315', 'codeshared': {'airline_name': 'air europa', 'airline_iata': 'ux', 'airline_icao': 'aea', 'flight_number': '7233', 'flight_iata': 'ux7233', 'flight_icao': 'aea7233'}}",,
2025-05-02,scheduled,"{'airport': 'Barajas', 'timezone': 'Europe/Madrid', 'iata': 'MAD', 'icao': 'LEMD', 'terminal': '2', 'gate': 'D163', 'delay': 13, 'scheduled': '2025-05-02T06:40:00+00:00', 'estimated': '2025-05-02T06:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'La Coruna', 'timezone': 'Europe/Madrid', 'iata': 'LCG', 'icao': 'LECO', 'terminal': '1', 'gate': None, 'baggage': '1', 'scheduled': '2025-05-02T07:50:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Etihad Airways', 'iata': 'EY', 'icao': 'ETD'}","{'number': '7562', 'iata': 'EY7562', 'icao': 'ETD7562', 'codeshared': {'airline_name': 'air europa', 'airline_iata': 'ux', 'airline_icao': 'aea', 'flight_number': '7233', 'flight_iata': 'ux7233', 'flight_icao': 'aea7233'}}",,
2025-05-02,scheduled,"{'airport': 'Barajas', 'timezone': 'Europe/Madrid', 'iata': 'MAD', 'icao': 'LEMD', 'terminal': '2', 'gate': 'D163', 'delay': 13, 'scheduled': '2025-05-02T06:40:00+00:00', 'estimated': '2025-05-02T06:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'La Coruna', 'timezone': 'Europe/Madrid', 'iata': 'LCG', 'icao': 'LECO', 'terminal': '1', 'gate': None, 'baggage': '1', 'scheduled': '2025-05-02T07:50:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Delta Air Lines', 'iata': 'DL', 'icao': 'DAL'}","{'number': '6762', 'iata': 'DL6762', 'icao': 'DAL6762', 'codeshared': {'airline_name': 'air europa', 'airline_iata': 'ux', 'airline_icao': 'aea', 'flight_number': '7233', 'flight_iata': 'ux7233', 'flight_icao': 'aea7233'}}",,
